company_name,company_domain,pais,ciudad,profile_key,target_leads,selected_for_run,status,last_run_at,linea_detectada,linea_raw,company_url_raw,source_file,source_sheet
Smurfit Westrock,smurfitkappa.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.smurfitkappa.com/co,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Stellantis México,stellantis.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.stellantis.com/es,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
SuKarne,sukarne.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.sukarne.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Supertiendas y Droguerias Olimpica S.A,olimpica.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.olimpica.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Suzuki Motor Colombia,suzuki.com.co,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://www.suzuki.com.co/,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
Suzuki Motor México,motos.suzuki.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://motos.suzuki.com.mx/,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
TIBA Logistics,tibagroup.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tibagroup.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
TUM Transportistas Unidos Mexicanos,tum.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tum.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Team Foods,alianzateam.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.alianzateam.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tecnoglass SAS,tecnoglass.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.tecnoglass.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tecnoquímicas S.A.,tqconfiable.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.tqconfiable.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tenaris Tubocaribe,tenaris.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.tenaris.com/es,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
