COMPANY NAME,source,pais,sector
F6S,BONATO,Colombia,Plásticos/Textil/Empaques
SURTIPLAST CT,BONATO,Colombia,Plásticos/Textil/Empaques
Bolsas y Empaque Colombia,BONATO,Colombia,Plásticos/Textil/Empaques
AGROBOL,BONATO,Colombia,Plásticos/Textil/Empaques
Ensacar,BONATO,Colombia,Plásticos/Textil/Empaques
Poliplastics,BONATO,Colombia,Plásticos/Textil/Empaques
ANFER,BONATO,Colombia,Plásticos/Textil/Empaques
Plasticos FAYCO,BONATO,Colombia,Plásticos/Textil/Empaques
Plastiatlantico sas,BONATO,Colombia,Plásticos/Textil/Empaques
Plasticos del Litoral,BONATO,Colombia,Plásticos/Textil/Empaques
Robsol,BONATO,Colombia,Plásticos/Textil/Empaques
Intertec,BONATO,Colombia,Plásticos/Textil/Empaques
Soltecal,BONATO,Colombia,Plásticos/Textil/Empaques
Coditeq,BONATO,Colombia,Plásticos/Textil/Empaques
Tecnoembalaje,BONATO,Colombia,Plásticos/Textil/Empaques
Technogen Enterprise,BONATO,Colombia,Plásticos/Textil/Empaques
Compañía Nacional de Chocolates,ALIMENTICIO,Colombia,Alimentos/Bebidas
Compañía de Galletas Noel,ALIMENTICIO,Colombia,Alimentos/Bebidas
Industria Colombiana de Café (Colcafé),ALIMENTICIO,Colombia,Alimentos/Bebidas
"Alimentos Cárnicos (Zenú, Ranchera, Rica)",ALIMENTICIO,Colombia,Alimentos/Bebidas
Compañía de Galletas Pozuelo,ALIMENTICIO,Colombia,Alimentos/Bebidas
Meals de Colombia (Crem Helado),ALIMENTICIO,Colombia,Alimentos/Bebidas
Pastas Doria,ALIMENTICIO,Colombia,Alimentos/Bebidas
Setas de Colombia,ALIMENTICIO,Colombia,Alimentos/Bebidas
BAVARIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
POSTOBON,ALIMENTICIO,Colombia,Alimentos/Bebidas
PEPSICO ALIMENTOS COLOMBIA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
COCA-COLA FEMSA COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
COLANTA,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALPINA PRODUCTOS ALIMENTICIOS S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALQUERIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
COLOMBINA,ALIMENTICIO,Colombia,Alimentos/Bebidas
AVIDESA MACPOLLO,ALIMENTICIO,Colombia,Alimentos/Bebidas
POLLOS EL BUCANERO,ALIMENTICIO,Colombia,Alimentos/Bebidas
DIANA CORPORACION,ALIMENTICIO,Colombia,Alimentos/Bebidas
HARINERA DEL VALLE,ALIMENTICIO,Colombia,Alimentos/Bebidas
